customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00030,Male,0,No,No,14,Yes,Yes,DSL,No,No internet,No,Yes,No,No,Month-to-month,No,Electronic check,34.75,550.45,No
CUST00031,Male,0,No,No,46,Yes,No,DSL,No internet,No internet,Yes,Yes,No internet,No,Month-to-month,Yes,Credit card,99.08,4741.61,Yes
CUST00032,Female,0,No,No,15,Yes,No,No,Yes,No internet,Yes,No internet,No internet,No internet,Month-to-month,Yes,Electronic check,64.51,933.08,Yes
CUST00033,Female,0,Yes,No,25,No,No,DSL,No,Yes,Yes,No internet,No internet,No internet,Two year,Yes,Bank transfer,68.89,1836.17,No
CUST00034,Female,0,No,No,0,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet,No internet,Two year,No,Credit card,31.63,26.6,Yes
CUST00035,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No internet,No internet,Month-to-month,No,Electronic check,51.06,376.96,Yes
CUST00036,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,66.4,1049.61,No
CUST00037,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,Yes,No internet,Yes,No internet,Two year,Yes,Bank transfer,48.43,1196.13,No
CUST00038,Male,0,No,No,4,No,No,DSL,No internet,No internet,No,No internet,No,No internet,Month-to-month,Yes,Electronic check,45.15,105.08,No
CUST00039,Male,0,Yes,No,34,Yes,No phone service,Fiber optic,Yes,No internet,No internet,Yes,No,No,Month-to-month,No,Mailed check,83.59,2730.94,Yes
CUST00040,Male,0,Yes,No,10,Yes,No phone service,No,No internet,Yes,No internet,No internet,Yes,No,Month-to-month,Yes,Credit card,38.92,243.6,Yes
CUST00041,Male,0,No,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet,Month-to-month,Yes,Electronic check,63.52,2364.87,No
CUST00042,Female,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No internet,No,One year,No,Bank transfer,38.73,34.09,No
CUST00043,Female,0,No,No,27,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No internet,Two year,Yes,Credit card,68.58,1872.96,No
CUST00044,Female,1,No,No,8,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet,No,Month-to-month,Yes,Electronic check,75.63,607.81,Yes
CUST00045,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No internet,No internet,Yes,One year,No,Electronic check,93.09,3475.96,No
CUST00046,Female,0,No,No,12,Yes,No,Fiber optic,No,No internet,No,Yes,Yes,No internet,Month-to-month,No,Mailed check,61.94,556.73,No
CUST00047,Male,0,No,No,26,No,No,Fiber optic,Yes,Yes,No,No,No internet,No internet,Two year,No,Credit card,81.71,2254.64,No
CUST00048,Female,0,Yes,No,65,Yes,No,No,No internet,Yes,Yes,No internet,No,No internet,Two year,No,Electronic check,88.0,5650.31,No
CUST00049,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No internet,Yes,No internet,No,No,No internet,Month-to-month,Yes,Electronic check,29.5,52.08,Yes
CUST00050,Male,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet,No,No,Two year,Yes,Electronic check,50.6,0.0,No
CUST00051,Female,0,Yes,Yes,35,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,68.33,2229.42,No
CUST00052,Male,0,No,No,24,Yes,No,Fiber optic,Yes,Yes,No,No internet,No,No internet,Month-to-month,Yes,Electronic check,77.99,1825.1,No
CUST00053,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No internet,No,No internet,Yes,One year,Yes,Mailed check,52.59,476.82,No
CUST00054,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No internet,No,Yes,Yes,Month-to-month,Yes,Mailed check,52.43,669.56,Yes
CUST00055,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No internet,Yes,Yes,Month-to-month,Yes,Credit card,37.73,6.08,Yes
CUST00056,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No internet,No internet,Yes,One year,Yes,Credit card,48.58,230.67,Yes
CUST00057,Male,0,No,Yes,13,Yes,No,DSL,No internet,No,No,No,No,No,Month-to-month,Yes,Credit card,55.16,674.92,Yes
CUST00058,Male,0,Yes,No,43,Yes,Yes,DSL,No,Yes,No,No internet,No,No,Month-to-month,Yes,Electronic check,80.44,3334.18,Yes
CUST00059,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No internet,No,Yes,No internet,No,Month-to-month,No,Electronic check,45.27,664.11,Yes
CUST00060,Male,0,Yes,No,21,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No internet,Month-to-month,Yes,Bank transfer,95.61,1937.47,Yes
CUST00061,Male,0,No,No,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,60.94,2840.22,Yes
CUST00062,Male,0,Yes,No,8,No,No phone service,Fiber optic,No internet,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,34.82,396.0,Yes
CUST00063,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,No internet,Yes,No,No internet,Two year,No,Electronic check,71.65,2104.32,No
CUST00064,Male,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,54.32,2489.46,No
CUST00065,Female,0,No,No,5,Yes,Yes,No,Yes,Yes,No internet,No internet,No,Yes,Month-to-month,Yes,Electronic check,52.88,205.01,Yes
CUST00066,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No internet,No,Yes,Month-to-month,No,Mailed check,44.61,436.24,No
CUST00067,Male,0,Yes,No,72,Yes,No phone service,Fiber optic,No,No internet,No,No,No internet,No internet,One year,Yes,Electronic check,95.79,6981.75,No
CUST00068,Female,0,No,No,72,Yes,Yes,DSL,No,No,Yes,No internet,No,Yes,Two year,Yes,Credit card,88.32,6490.83,No
CUST00069,Female,1,No,No,6,Yes,Yes,Fiber optic,No,Yes,No internet,No internet,Yes,No,Month-to-month,No,Electronic check,80.13,333.85,Yes
CUST00070,Female,0,No,No,1,Yes,No,Fiber optic,No internet,No,No internet,Yes,Yes,No internet,Two year,Yes,Credit card,56.86,151.94,Yes
CUST00071,Female,0,No,No,7,Yes,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,54.21,391.29,Yes
CUST00072,Male,1,Yes,No,12,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet,No,No,Two year,Yes,Bank transfer,69.07,811.68,No
CUST00073,Female,1,Yes,Yes,13,Yes,Yes,DSL,No internet,No,Yes,No,No,No,Month-to-month,Yes,Credit card,51.97,554.95,Yes
CUST00074,Male,1,No,No,23,Yes,Yes,Fiber optic,Yes,No,No internet,No internet,No internet,No,Two year,No,Electronic check,61.01,1387.34,No
CUST00075,Female,0,No,No,55,Yes,Yes,No,No internet,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,80.79,4431.24,Yes
CUST00076,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card,63.42,535.82,No
CUST00077,Female,0,No,Yes,45,No,Yes,DSL,No,No internet,No internet,No internet,No internet,Yes,Month-to-month,No,Electronic check,67.62,3025.77,No
CUST00078,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,47.81,202.76,Yes
CUST00079,Female,0,No,No,1,Yes,No,DSL,No,No,No internet,Yes,No,Yes,Two year,Yes,Mailed check,44.59,75.85,No
CUST00080,Male,0,Yes,No,16,Yes,No,No,No,No internet,No,No,No internet,No internet,One year,Yes,Mailed check,63.65,1114.34,No
CUST00081,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No internet,No,No,Yes,No,One year,Yes,Credit card,50.56,0.0,No
CUST00082,Male,0,Yes,Yes,11,Yes,No phone service,No,Yes,No,No internet,Yes,No,No internet,Month-to-month,No,Mailed check,64.79,677.04,Yes
CUST00083,Female,1,No,No,54,Yes,Yes,DSL,No internet,No,No,No,No internet,No,Two year,Yes,Electronic check,77.74,4148.04,No
CUST00084,Male,0,No,No,6,Yes,No,No,No internet,No,No,No,No,No,Two year,Yes,Credit card,52.18,369.87,Yes
CUST00085,Male,0,Yes,Yes,29,Yes,No phone service,DSL,Yes,No internet,Yes,No,Yes,No internet,Month-to-month,No,Electronic check,87.16,2551.54,Yes
CUST00086,Female,0,Yes,No,8,Yes,No,Fiber optic,No internet,Yes,No internet,No,No,No internet,One year,Yes,Credit card,84.55,752.92,Yes
CUST00087,Male,0,No,No,1,No,Yes,DSL,No,No,No internet,No,Yes,No,Two year,Yes,Credit card,46.97,207.58,No
CUST00088,Female,0,No,No,19,No,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card,79.24,1528.3,No
CUST00089,Female,0,Yes,No,43,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,90.52,3888.85,No
CUST00090,Female,1,No,Yes,12,No,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer,78.3,913.78,No
CUST00091,Female,0,No,No,23,Yes,No,DSL,No,No,Yes,No internet,No,No,One year,Yes,Bank transfer,34.86,627.17,No
CUST00092,Female,0,Yes,Yes,55,Yes,No,No,No,Yes,Yes,No,No internet,No internet,One year,Yes,Mailed check,56.2,2966.04,No
CUST00093,Female,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,60.9,2091.24,No
CUST00094,Female,0,No,No,5,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,45.01,171.18,Yes
CUST00095,Female,0,No,No,31,Yes,No,DSL,Yes,No internet,No internet,Yes,No internet,No internet,Two year,No,Bank transfer,51.8,1566.56,No
CUST00096,Female,0,No,Yes,16,Yes,Yes,No,Yes,No,No internet,No,Yes,No internet,Month-to-month,No,Bank transfer,66.34,1234.25,No
CUST00097,Female,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,No internet,No internet,Yes,No internet,Month-to-month,Yes,Bank transfer,75.18,2415.68,Yes
CUST00098,Female,0,Yes,No,16,Yes,Yes,DSL,No internet,No internet,Yes,No internet,Yes,Yes,One year,No,Bank transfer,84.87,1373.21,No
CUST00099,Male,0,Yes,No,3,Yes,No,Fiber optic,No internet,No,Yes,No,Yes,Yes,One year,No,Bank transfer,42.4,52.07,No
CUST00100,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No internet,No internet,No,No,Yes,No,Month-to-month,No,Bank transfer,50.24,990.54,No
CUST00101,Female,0,Yes,No,16,Yes,No phone service,Fiber optic,Yes,No internet,No internet,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.8,752.2,Yes
CUST00102,Female,0,No,Yes,17,Yes,Yes,No,No internet,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,39.18,730.11,No
CUST00103,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No internet,No,No,Two year,No,Electronic check,103.05,5111.07,No
CUST00104,Female,0,Yes,Yes,54,Yes,No,Fiber optic,No,No,No,No,Yes,No internet,Two year,Yes,Mailed check,71.64,3746.63,No
CUST00105,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,No internet,Yes,Two year,No,Electronic check,55.81,764.25,No
CUST00106,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,59.04,893.23,No
CUST00107,Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet,No,Month-to-month,Yes,Electronic check,56.28,1034.03,Yes
CUST00108,Female,1,No,No,17,Yes,No phone service,No,Yes,No internet,No,No internet,No internet,Yes,Month-to-month,Yes,Electronic check,64.37,1273.94,No
CUST00109,Male,1,No,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet,Month-to-month,Yes,Bank transfer,120.0,8627.77,Yes
CUST00110,Female,0,No,Yes,25,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,63.8,1480.81,No
CUST00111,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No internet,No internet,Yes,Month-to-month,Yes,Bank transfer,60.73,459.88,Yes
CUST00112,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No internet,No internet,Yes,Month-to-month,Yes,Credit card,51.59,1026.42,Yes
CUST00113,Female,0,Yes,No,23,No,Yes,Fiber optic,No,No internet,No internet,Yes,No,No internet,Month-to-month,No,Bank transfer,70.73,1676.03,No
CUST00114,Male,0,Yes,No,24,Yes,No phone service,No,No internet,No,No,No,No internet,Yes,Month-to-month,No,Bank transfer,62.47,1512.6,Yes
CUST00115,Female,0,Yes,No,21,Yes,Yes,DSL,No internet,No,Yes,No,No,No,Month-to-month,Yes,Credit card,64.24,1422.36,Yes
CUST00116,Male,0,No,No,4,Yes,Yes,Fiber optic,No internet,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.16,201.93,Yes
CUST00117,Female,1,No,No,0,Yes,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,73.24,6.44,Yes
CUST00118,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No internet,No internet,Yes,No,No,No,Month-to-month,No,Electronic check,64.99,612.04,Yes
CUST00119,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No,No internet,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,56.15,465.63,Yes
CUST00120,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,50.59,0.0,No
CUST00121,Male,0,Yes,No,40,Yes,No phone service,DSL,Yes,No,No internet,No,Yes,Yes,Two year,Yes,Bank transfer,53.31,2006.41,No
CUST00122,Female,0,No,No,10,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card,52.38,384.7,Yes
CUST00123,Male,1,No,No,58,Yes,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card,90.62,5115.22,No
CUST00124,Male,0,No,No,4,Yes,Yes,Fiber optic,No internet,No,No,No,Yes,No,Two year,Yes,Mailed check,65.75,273.3,No
CUST00125,Female,0,No,No,1,Yes,No,Fiber optic,No internet,Yes,No internet,No internet,No,Yes,Month-to-month,No,Mailed check,18.0,71.6,Yes
CUST00126,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No internet,Yes,No internet,Yes,Yes,Month-to-month,Yes,Bank transfer,62.14,818.35,Yes
CUST00127,Male,1,No,No,5,Yes,Yes,DSL,Yes,No,No,No internet,Yes,No,Month-to-month,Yes,Bank transfer,50.91,146.14,Yes
CUST00128,Female,0,Yes,No,66,Yes,No,Fiber optic,No,No,Yes,No,No internet,No,Month-to-month,No,Electronic check,94.65,6287.33,Yes
CUST00129,Female,0,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,69.94,,Yes
CUST00130,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,55.28,703.13,Yes
CUST00131,Male,0,No,No,62,Yes,Yes,Fiber optic,No internet,No,Yes,No internet,Yes,Yes,Two year,No,Mailed check,102.52,6453.56,No
CUST00132,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No internet,No,No internet,Yes,Month-to-month,Yes,Bank transfer,68.52,735.37,Yes
CUST00133,Male,0,Yes,No,2,No,Yes,No,No,No,No,Yes,Yes,No,Two year,No,Mailed check,53.09,184.02,No
CUST00134,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,29.95,206.33,Yes
CUST00135,Male,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,63.77,1055.56,Yes
CUST00136,Male,1,Yes,Yes,4,Yes,Yes,No,No,No internet,No,No,Yes,No internet,Two year,Yes,Credit card,49.57,83.93,No
CUST00137,Male,0,No,Yes,15,Yes,No,Fiber optic,Yes,No,No internet,No,No internet,No,Month-to-month,Yes,Electronic check,18.0,412.24,Yes
CUST00138,Male,0,No,No,43,No,No,Fiber optic,Yes,No,No,No,No internet,Yes,One year,Yes,Electronic check,55.0,2536.44,No
CUST00139,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,Yes,No internet,No internet,Yes,Month-to-month,No,Bank transfer,94.73,4659.71,No
CUST00140,Female,0,No,Yes,1,Yes,Yes,No,Yes,No internet,No internet,Yes,Yes,No,Two year,Yes,Bank transfer,52.44,217.96,No
CUST00141,Male,1,No,No,4,Yes,No,Fiber optic,No internet,No internet,No internet,No internet,Yes,Yes,Month-to-month,Yes,Bank transfer,80.41,368.03,Yes
CUST00142,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,No internet,No,Month-to-month,Yes,Mailed check,77.12,530.12,Yes
CUST00143,Female,0,No,Yes,21,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card,64.66,1312.75,No
CUST00144,Female,0,Yes,No,10,Yes,No,DSL,No internet,No,Yes,No internet,No,No,Month-to-month,No,Electronic check,46.34,649.45,Yes
CUST00145,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,56.18,2456.68,No
CUST00146,Male,0,No,Yes,30,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,64.05,1920.75,No
CUST00147,Male,0,No,No,2,Yes,No,DSL,No,No,No,No internet,Yes,No,One year,No,Electronic check,37.62,168.07,No
CUST00148,Male,0,No,No,23,Yes,No,No,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,44.5,1061.81,No
CUST00149,Female,1,No,No,2,Yes,Yes,No,No,No,No internet,No internet,No,No,One year,Yes,Bank transfer,51.31,73.01,Yes
CUST00150,Male,0,No,No,7,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,49.48,440.33,No
CUST00151,Male,0,No,Yes,4,Yes,No,No,Yes,Yes,No,Yes,No internet,No internet,Month-to-month,No,Credit card,48.39,35.55,No
CUST00152,Male,0,No,No,4,Yes,Yes,No,No internet,No internet,No,No internet,No internet,Yes,Month-to-month,Yes,Bank transfer,50.66,193.68,No
CUST00153,Male,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,No internet,No internet,Yes,No,One year,No,Bank transfer,67.38,1485.46,No
CUST00154,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No internet,Yes,Yes,No,No internet,One year,No,Credit card,56.79,1064.24,No
CUST00155,Female,0,No,No,4,Yes,Yes,DSL,No internet,No,Yes,No,No,No,Month-to-month,No,Bank transfer,63.31,336.32,No
CUST00156,Male,0,Yes,Yes,72,Yes,Yes,DSL,No,Yes,No internet,Yes,Yes,No,Month-to-month,Yes,Bank transfer,96.71,6879.34,Yes
CUST00157,Female,0,No,No,13,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,71.49,917.54,Yes
CUST00158,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No internet,No,No internet,Yes,No,Yes,Month-to-month,Yes,Mailed check,49.24,349.37,Yes
CUST00159,Female,1,No,No,3,Yes,No,Fiber optic,No internet,Yes,No,Yes,No internet,Yes,Month-to-month,Yes,Mailed check,42.9,200.64,Yes
CUST00160,Male,0,Yes,No,21,Yes,No,Fiber optic,No,No internet,No,No,No internet,No internet,Month-to-month,No,Electronic check,56.89,1293.8,Yes
CUST00161,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No internet,No,No,Yes,No,Month-to-month,No,Credit card,71.48,5135.34,Yes
CUST00162,Female,0,No,No,20,Yes,No phone service,DSL,No,No,No internet,No,No,Yes,Month-to-month,No,Electronic check,71.95,1577.44,Yes
CUST00163,Female,0,Yes,No,71,Yes,No,DSL,No,No internet,Yes,No,No,No internet,Two year,Yes,Mailed check,63.33,4338.47,No
CUST00164,Female,0,No,No,14,Yes,No,No,No,Yes,Yes,No,No,No internet,Two year,Yes,Electronic check,62.11,982.04,No
CUST00165,Male,0,Yes,Yes,13,Yes,No,No,Yes,No internet,No,Yes,Yes,No,Month-to-month,No,Bank transfer,59.52,749.44,No
CUST00166,Female,0,Yes,No,16,Yes,Yes,DSL,No internet,No internet,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,69.0,1036.23,No
CUST00167,Male,0,Yes,No,28,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card,68.09,1831.72,No
CUST00168,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No internet,No,No,No internet,Month-to-month,No,Bank transfer,54.3,534.99,Yes
CUST00169,Female,0,Yes,No,47,Yes,No,DSL,No,No,No internet,Yes,No,Yes,Two year,Yes,Mailed check,57.1,2781.72,No
CUST00170,Female,0,No,Yes,0,Yes,Yes,Fiber optic,Yes,No internet,Yes,No,Yes,No internet,Month-to-month,No,Mailed check,75.59,0.0,Yes
CUST00171,Male,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No internet,No,Yes,No internet,Two year,No,Electronic check,55.73,874.15,No
CUST00172,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,53.22,804.25,Yes
CUST00173,Female,0,Yes,Yes,22,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,62.73,1344.71,No
CUST00174,Female,0,Yes,No,7,Yes,No,No,No,No,No,No internet,No internet,Yes,Two year,Yes,Credit card,70.43,437.38,Yes
CUST00175,Female,0,No,No,13,Yes,No phone service,DSL,No,Yes,No internet,No internet,No internet,Yes,Two year,Yes,Mailed check,52.73,689.79,No
CUST00176,Male,0,No,No,15,Yes,Yes,DSL,No,No internet,Yes,No,No internet,No,Month-to-month,No,Bank transfer,74.76,1056.3,Yes
CUST00177,Male,0,No,Yes,27,Yes,Yes,DSL,No internet,No internet,No,Yes,No internet,No,Two year,Yes,Credit card,66.58,1739.68,No
CUST00178,Male,0,Yes,No,35,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,78.52,2626.65,No
CUST00179,Male,0,Yes,Yes,32,No,No phone service,DSL,No,No internet,No internet,Yes,Yes,No internet,One year,Yes,Electronic check,69.86,2248.63,No
CUST00180,Male,0,Yes,No,10,No,No,No,No,Yes,Yes,No internet,No,Yes,Month-to-month,No,Mailed check,65.1,517.18,Yes
